FECHA,VV
2017-01-02,156.66
2017-01-03,4781.79
2017-01-04,7563.97
2017-01-05,11155.98
2017-01-06,8664.01
2017-01-07,12925.96
2017-01-09,4337.7
2017-01-10,13804.76
2017-01-11,11185.96
2017-01-12,11195.48
2017-01-13,16397.61
2017-01-14,4246.08
2017-01-16,8238.41
2017-01-17,10452.31
2017-01-18,11278.46
2017-01-19,6118.21
2017-01-20,30602.32
2017-01-21,6079.67
2017-01-23,20326.68
2017-01-24,18359.18
2017-01-25,16406.53
2017-01-26,11323.71
2017-01-27,17864.56
2017-01-28,1414.71
2017-01-30,11060.99
2017-01-31,21468.54
2017-02-01,14703.29
2017-02-02,14590.48
2017-02-03,14013.24
2017-02-04,6540.58
2017-02-06,10700.9
2017-02-07,12676.44
2017-02-08,16153.21
2017-02-09,13886.61
2017-02-10,15885.61
2017-02-11,6867.6
2017-02-13,9846.87
2017-02-14,6805.35
2017-02-15,9123.42
2017-02-16,8468.46
2017-02-17,12341.55
2017-02-18,3394.73
2017-02-20,8242.0
2017-02-21,13589.01
2017-02-22,17651.96
2017-02-23,13513.71
2017-02-24,13083.14
2017-02-25,6863.76
2017-02-27,19678.13
2017-02-28,16702.76
2017-03-01,13107.36
2017-03-02,13350.57
2017-03-03,11310.94
2017-03-04,2111.94
2017-03-06,19280.86
2017-03-07,14487.08
2017-03-08,8337.44
2017-03-09,7101.44
2017-03-10,10519.34
2017-03-11,3181.62
2017-03-13,10837.03
2017-03-14,7614.89
2017-03-15,18979.14
2017-03-16,11692.33
2017-03-17,8009.47
2017-03-18,2186.46
2017-03-20,9432.56
2017-03-21,19874.91
2017-03-22,4669.74
2017-03-23,8295.53
2017-03-24,7870.18
2017-03-25,5146.48
2017-03-27,9116.0
2017-03-28,11851.9
2017-03-29,16350.36
2017-03-30,10686.39
2017-03-31,17043.1
2017-04-01,4200.05
2017-04-03,9881.33
2017-04-04,13373.05
2017-04-05,13727.85
2017-04-06,8828.49
2017-04-07,7752.73
2017-04-08,4137.48
2017-04-10,8148.59
2017-04-11,4404.28
2017-04-12,10500.22
2017-04-13,418.92
2017-04-14,78.28
2017-04-15,17.13
2017-04-17,10550.38
2017-04-18,5129.17
2017-04-19,8307.55
2017-04-20,13795.32
2017-04-21,12199.73
2017-04-22,6223.57
2017-04-24,14988.22
2017-04-25,13680.47
2017-04-26,15260.92
2017-04-27,14389.02
2017-04-28,21480.35
2017-04-29,9849.66
2017-05-01,1351.13
2017-05-02,14083.41
2017-05-03,13915.48
2017-05-04,13471.07
2017-05-05,7675.45
2017-05-06,5818.01
2017-05-08,9458.98
2017-05-09,19392.03
2017-05-10,22234.78
2017-05-11,24099.92
2017-05-12,7842.39
2017-05-13,12236.7
2017-05-15,20382.67
2017-05-16,11552.32
2017-05-17,13962.99
2017-05-18,14634.85
2017-05-19,15797.54
2017-05-20,8992.23
2017-05-22,8113.57
2017-05-23,15322.53
2017-05-24,12275.04
2017-05-25,13431.59
2017-05-26,16121.65
2017-05-27,11469.21
2017-05-29,18453.3
2017-05-30,9878.25
2017-05-31,12198.09
2017-06-01,19349.65
2017-06-02,7516.13
2017-06-03,6460.89
2017-06-05,13747.48
2017-06-06,15433.76
2017-06-07,22734.12
2017-06-08,15745.06
2017-06-09,13167.97
2017-06-10,4916.75
2017-06-12,15815.11
2017-06-13,28298.01
2017-06-14,17982.86
2017-06-15,20256.37
2017-06-16,11679.08
2017-06-17,3907.19
2017-06-19,8502.32
2017-06-20,9612.02
2017-06-21,8720.1
2017-06-22,17603.13
2017-06-23,10750.25
2017-06-24,9866.22
2017-06-26,17010.56
2017-06-27,12289.35
2017-06-28,16764.87
2017-06-29,424.96
2017-06-30,35036.0
2017-07-01,2139.8
2017-07-03,8608.71
2017-07-04,13655.17
2017-07-05,16948.25
2017-07-06,14352.5
2017-07-07,19403.86
2017-07-08,1967.71
2017-07-10,8782.71
2017-07-11,2654.14
2017-07-12,915.05
2017-07-13,215.73
2017-07-14,10150.44
2017-07-15,1185.92
2017-07-17,41205.63
2017-07-18,22313.79
2017-07-19,24332.8
2017-07-20,10095.92
2017-07-21,17918.85
2017-07-22,6526.16
2017-07-24,19889.46
2017-07-25,19602.76
2017-07-26,5724.04
2017-07-27,118.14
2017-07-31,7206.64
2017-08-01,4055.72
2017-08-02,5578.43
2017-08-03,4220.8
2017-08-04,4738.91
2017-08-05,1262.98
2017-08-07,7699.12
2017-08-08,7486.82
2017-08-09,7222.4
2017-08-10,8382.31
2017-08-11,7187.94
2017-08-12,1253.51
2017-08-14,5201.68
2017-08-15,10017.05
2017-08-16,7051.22
2017-08-17,5511.53
2017-08-18,9470.54
2017-08-19,5168.06
2017-08-21,12763.53
2017-08-22,8701.28
2017-08-23,7037.96
2017-08-24,8956.1
2017-08-25,16216.24
2017-08-26,2628.02
2017-08-28,8611.0
2017-08-29,5707.8
2017-08-30,701.3
2017-08-31,16878.15
2017-09-01,6325.94
2017-09-02,65.92
2017-09-04,6900.64
2017-09-05,8710.88
2017-09-06,6013.21
2017-09-07,4783.17
2017-09-08,10828.51
2017-09-09,5595.57
2017-09-11,10828.37
2017-09-12,11265.47
2017-09-13,17547.91
2017-09-14,8635.95
2017-09-15,10962.86
2017-09-16,2274.25
2017-09-18,12315.14
2017-09-19,11218.69
2017-09-20,8333.06
2017-09-21,17797.25
2017-09-22,10617.94
2017-09-23,7298.89
2017-09-25,8317.43
2017-09-26,18085.57
2017-09-27,17546.8
2017-09-28,14929.2
2017-09-29,10962.39
2017-09-30,10412.14
2017-10-01,129.12
2017-10-02,15230.65
2017-10-03,5867.49
2017-10-04,18502.56
2017-10-05,6937.96
2017-10-06,9636.81
2017-10-07,5341.97
2017-10-08,75.97
2017-10-09,7161.57
2017-10-10,16935.79
2017-10-11,4242.88
2017-10-12,11821.94
2017-10-13,9097.8
2017-10-14,4214.48
2017-10-16,5874.75
2017-10-17,6373.4
2017-10-18,5393.26
2017-10-19,12063.59
2017-10-20,10830.15
2017-10-21,4948.92
2017-10-23,14094.65
2017-10-24,11853.46
2017-10-25,18115.59
2017-10-26,15375.64
2017-10-27,16093.25
2017-10-28,9561.19
2017-10-30,11668.03
2017-10-31,22906.46
2017-11-01,841.79
2017-11-02,18476.53
2017-11-03,7032.36
2017-11-04,5185.96
2017-11-05,120.13
2017-11-06,15053.23
2017-11-07,6543.62
2017-11-08,23503.01
2017-11-09,9884.19
2017-11-10,13669.94
2017-11-11,3269.45
2017-11-13,11993.56
2017-11-14,13852.13
2017-11-15,22047.94
2017-11-16,9028.86
2017-11-17,16738.85
2017-11-18,4993.55
2017-11-20,10559.66
2017-11-21,12235.92
2017-11-22,25814.18
2017-11-23,9315.81
