var1(t-7),var1(t-6),var1(t-5),var1(t-4),var1(t-3),var1(t-2),var1(t-1),var1(t)
-0.9942001,-0.82139206,-0.7174418,-0.5832341,-0.6763412,-0.5171026,-0.8379845,-0.48426807
-0.82139206,-0.7174418,-0.5832341,-0.6763412,-0.5171026,-0.8379845,-0.48426807,-0.582114
-0.7174418,-0.5832341,-0.6763412,-0.5171026,-0.8379845,-0.48426807,-0.582114,-0.58175826
-0.5832341,-0.6763412,-0.5171026,-0.8379845,-0.48426807,-0.582114,-0.58175826,-0.3873918
-0.6763412,-0.5171026,-0.8379845,-0.48426807,-0.582114,-0.58175826,-0.3873918,-0.8414077
-0.5171026,-0.8379845,-0.48426807,-0.582114,-0.58175826,-0.3873918,-0.8414077,-0.69224286
-0.8379845,-0.48426807,-0.582114,-0.58175826,-0.3873918,-0.8414077,-0.69224286,-0.6095252
-0.48426807,-0.582114,-0.58175826,-0.3873918,-0.8414077,-0.69224286,-0.6095252,-0.57865787
-0.582114,-0.58175826,-0.3873918,-0.8414077,-0.69224286,-0.6095252,-0.57865787,-0.7714596
-0.58175826,-0.3873918,-0.8414077,-0.69224286,-0.6095252,-0.57865787,-0.7714596,0.14333677
-0.3873918,-0.8414077,-0.69224286,-0.6095252,-0.57865787,-0.7714596,0.14333677,-0.7728995
-0.8414077,-0.69224286,-0.6095252,-0.57865787,-0.7714596,0.14333677,-0.7728995,-0.24059051
-0.69224286,-0.6095252,-0.57865787,-0.7714596,0.14333677,-0.7728995,-0.24059051,-0.31410193
-0.6095252,-0.57865787,-0.7714596,0.14333677,-0.7728995,-0.24059051,-0.31410193,-0.38705856
-0.57865787,-0.7714596,0.14333677,-0.7728995,-0.24059051,-0.31410193,-0.38705856,-0.57696724
-0.7714596,0.14333677,-0.7728995,-0.24059051,-0.31410193,-0.38705856,-0.57696724,-0.3325823
0.14333677,-0.7728995,-0.24059051,-0.31410193,-0.38705856,-0.57696724,-0.3325823,-0.94719577
-0.7728995,-0.24059051,-0.31410193,-0.38705856,-0.57696724,-0.3325823,-0.94719577,-0.5867832
-0.24059051,-0.31410193,-0.38705856,-0.57696724,-0.3325823,-0.94719577,-0.5867832,-0.19792736
-0.31410193,-0.38705856,-0.57696724,-0.3325823,-0.94719577,-0.5867832,-0.19792736,-0.4506964
-0.38705856,-0.57696724,-0.3325823,-0.94719577,-0.5867832,-0.19792736,-0.4506964,-0.4549113
-0.57696724,-0.3325823,-0.94719577,-0.5867832,-0.19792736,-0.4506964,-0.4549113,-0.47647864
-0.3325823,-0.94719577,-0.5867832,-0.19792736,-0.4506964,-0.4549113,-0.47647864,-0.75567865
-0.94719577,-0.5867832,-0.19792736,-0.4506964,-0.4549113,-0.47647864,-0.75567865,-0.60023713
-0.5867832,-0.19792736,-0.4506964,-0.4549113,-0.47647864,-0.75567865,-0.60023713,-0.52642536
-0.19792736,-0.4506964,-0.4549113,-0.47647864,-0.75567865,-0.60023713,-0.52642536,-0.3965233
-0.4506964,-0.4549113,-0.47647864,-0.75567865,-0.60023713,-0.52642536,-0.3965233,-0.48120993
-0.4549113,-0.47647864,-0.75567865,-0.60023713,-0.52642536,-0.3965233,-0.48120993,-0.40652156
-0.47647864,-0.75567865,-0.60023713,-0.52642536,-0.3965233,-0.48120993,-0.40652156,-0.7434602
-0.75567865,-0.60023713,-0.52642536,-0.3965233,-0.48120993,-0.40652156,-0.7434602,-0.6321462
-0.60023713,-0.52642536,-0.3965233,-0.48120993,-0.40652156,-0.7434602,-0.6321462,-0.7457861
-0.52642536,-0.3965233,-0.48120993,-0.40652156,-0.7434602,-0.6321462,-0.7457861,-0.65917635
-0.3965233,-0.48120993,-0.40652156,-0.7434602,-0.6321462,-0.7457861,-0.65917635,-0.6836475
-0.48120993,-0.40652156,-0.7434602,-0.6321462,-0.7457861,-0.65917635,-0.6836475,-0.5389378
-0.40652156,-0.7434602,-0.6321462,-0.7457861,-0.65917635,-0.6836475,-0.5389378,-0.87321657
-0.7434602,-0.6321462,-0.7457861,-0.65917635,-0.6836475,-0.5389378,-0.87321657,-0.69210875
-0.6321462,-0.7457861,-0.65917635,-0.6836475,-0.5389378,-0.87321657,-0.69210875,-0.49232912
-0.7457861,-0.65917635,-0.6836475,-0.5389378,-0.87321657,-0.69210875,-0.49232912,-0.34052563
-0.65917635,-0.6836475,-0.5389378,-0.87321657,-0.69210875,-0.49232912,-0.34052563,-0.49514252
-0.6836475,-0.5389378,-0.87321657,-0.69210875,-0.49232912,-0.34052563,-0.49514252,-0.5112299
-0.5389378,-0.87321657,-0.69210875,-0.49232912,-0.34052563,-0.49514252,-0.5112299,-0.7436037
-0.87321657,-0.69210875,-0.49232912,-0.34052563,-0.49514252,-0.5112299,-0.7436037,-0.26482213
-0.69210875,-0.49232912,-0.34052563,-0.49514252,-0.5112299,-0.7436037,-0.26482213,-0.3759905
-0.49232912,-0.34052563,-0.49514252,-0.5112299,-0.7436037,-0.26482213,-0.3759905,-0.51032495
-0.34052563,-0.49514252,-0.5112299,-0.7436037,-0.26482213,-0.3759905,-0.51032495,-0.50123787
-0.49514252,-0.5112299,-0.7436037,-0.26482213,-0.3759905,-0.51032495,-0.50123787,-0.5774443
-0.5112299,-0.7436037,-0.26482213,-0.3759905,-0.51032495,-0.50123787,-0.5774443,-0.9211453
-0.7436037,-0.26482213,-0.3759905,-0.51032495,-0.50123787,-0.5774443,-0.9211453,-0.27966535
-0.26482213,-0.3759905,-0.51032495,-0.50123787,-0.5774443,-0.9211453,-0.27966535,-0.45877463
-0.3759905,-0.51032495,-0.50123787,-0.5774443,-0.9211453,-0.27966535,-0.45877463,-0.6885428
-0.51032495,-0.50123787,-0.5774443,-0.9211453,-0.27966535,-0.45877463,-0.6885428,-0.7347233
-0.50123787,-0.5774443,-0.9211453,-0.27966535,-0.45877463,-0.6885428,-0.7347233,-0.60702074
-0.5774443,-0.9211453,-0.27966535,-0.45877463,-0.6885428,-0.7347233,-0.60702074,-0.881179
-0.9211453,-0.27966535,-0.45877463,-0.6885428,-0.7347233,-0.60702074,-0.881179,-0.59515095
-0.27966535,-0.45877463,-0.6885428,-0.7347233,-0.60702074,-0.881179,-0.59515095,-0.71553934
-0.45877463,-0.6885428,-0.7347233,-0.60702074,-0.881179,-0.59515095,-0.71553934,-0.29093844
-0.6885428,-0.7347233,-0.60702074,-0.881179,-0.59515095,-0.71553934,-0.29093844,-0.5631945
-0.7347233,-0.60702074,-0.881179,-0.59515095,-0.71553934,-0.29093844,-0.5631945,-0.7007967
-0.60702074,-0.881179,-0.59515095,-0.71553934,-0.29093844,-0.5631945,-0.7007967,-0.918361
-0.881179,-0.59515095,-0.71553934,-0.29093844,-0.5631945,-0.7007967,-0.918361,-0.647626
-0.59515095,-0.71553934,-0.29093844,-0.5631945,-0.7007967,-0.918361,-0.647626,-0.2574699
